data,temperatura,umidade,preciptacao,idade
Jan/20,25.74447036756531,78.21669846352997,14.10875468850511,18
Fev/20,25.457161226587637,79.5415152789459,17.803707184075698,18
Mar/20,24.273873046479213,82.44855456827216,9.45621814309805,18
Abr/20,23.919316830539803,80.11507984521722,1.59704221878975,18
Mai/20,21.244489247311826,75.39124103942652,3.349022095997744,18
Jun/20,21.318590060007743,70.25268704026325,0.0,18
Jul/20,21.556025160347104,63.76369788719109,0.0,18
Ago/20,22.938473316207514,57.48552262672154,0.0,18
Set/20,26.54170138888889,45.877546296296295,0.0,18
Out/20,27.231585534517684,59.85189243415926,6.992075782278899,30
Nov/20,24.805657923450863,74.4179180225933,9.368639510166885,30
Dez/20,25.58969534050179,72.45934139784947,7.195110730019445,30
