individuo_id,area_foliar_individual_36,comprimento_foliar_36,largura_foliar_36,area_foliar_especifica_36,potencial_hidrico_foliar_36,ima_36,progenie
272.0,41.33,16.01,3.92,116.25,-2.44,23.1272,59.0
479.0,42.49,16.11,3.96,123.96,-2.3,25.1258,59.0
852.0,31.76,9.5,4.57,92.49,-2.48,11.9578,59.0
924.0,43.92,16.02,4.11,108.3,-2.18,38.4119,59.0
2607.0,39.5,10.15,4.92,90.91,-3.12,6.7815,60.0
3181.0,41.83,14.24,4.82,93.26,-2.24,13.2352,60.0
3749.0,75.1,15.32,7.35,112.5,-2.8,17.6067,60.0
1287.0,,,,,,0.0,60.0
1818.0,,,,,,18.8583,60.0
1818.0,38.7,16.14,3.78,93.94,-2.84,18.8583,60.0
371.0,,,,,,0.0,64.0
2591.0,34.23,14.72,3.45,117.42,-3.05,15.3628,64.0
3104.0,32.53,10.39,4.52,116.39,-3.07,9.0145,64.0
3561.0,34.63,13.4,4.16,109.07,-3.37,8.4034,64.0
1881.0,44.12,10.42,5.59,65.8,-3.2,5.4335,64.0
66.0,38.42,16.65,3.44,114.69,-2.48,19.6928,66.0
412.0,33.35,15.29,3.96,116.47,-2.83,9.6864,66.0
442.0,32.69,13.58,4.05,138.23,-2.36,17.4784,66.0
935.0,45.0,13.0,3.93,126.58,-2.68,10.4417,66.0
2956.0,,,,,,16.5018,66.0
68.0,37.93,15.15,3.87,108.7,-1.68,9.1556,68.0
2621.0,67.36,17.04,3.79,76.46,,24.5119,68.0
2621.0,,,,,,24.5119,68.0
3091.0,45.67,17.86,3.96,87.74,-2.58,14.871,68.0
3958.0,39.85,11.58,4.94,166.03,-1.23,29.5958,68.0
434.0,42.17,16.56,3.43,72.08,-2.38,27.1624,68.0
1068.0,,,,,,0.0,68.0
1356.0,,,,,,11.409,68.0
1980.0,31.61,12.87,4.02,61.4,-2.86,7.3255,68.0
83.0,29.97,12.32,3.59,84.42,-2.0,27.3831,83.0
2496.0,42.11,13.59,4.93,86.13,,20.0575,83.0
3248.0,44.04,13.91,4.91,95.13,-3.78,20.3236,83.0
891.0,43.44,13.21,4.78,87.79,-2.68,35.2239,83.0
1252.0,37.67,15.83,3.7,66.96,-1.85,25.4062,83.0
1438.0,,,,,,18.5516,83.0
1624.0,,,,,,0.0,83.0
2564.0,44.04,19.31,4.45,86.96,-2.61,17.9384,84.0
3767.0,,,,,,17.384,84.0
3767.0,,,,,,17.384,84.0
1095.0,27.26,12.8813626,3.19,82.1,-2.4,4.9247,84.0
1863.0,39.82,14.43,4.19,97.12,-1.88,18.7049,84.0
91.0,,,,,,33.5698,91.0
2430.0,31.65,11.42,4.4,94.06,-2.7,43.6624,91.0
3891.0,,,,,,32.861,91.0
446.0,36.83,9.87,5.49,118.81,-2.86,28.4207,91.0
1028.0,44.28,13.16,4.45,122.83,-2.15,32.6957,91.0
1766.0,40.85,15.37,4.47,117.77,-2.12,39.8134,91.0
3563.0,24.49,12.26,3.12,110.09,-0.92,25.9419,92.0
3809.0,54.96,17.59,5.2,95.43,-2.4,38.1675,92.0
281.0,31.22,14.33,3.82,98.94,-2.62,25.492,92.0
921.0,35.22,10.88,4.92,159.67,-1.96,24.5633,92.0
2507.0,47.93,13.59,3.73,74.61,-2.35,11.391,94.0
3147.0,32.31,9.56,4.72,94.49,-3.93,24.2048,94.0
3816.0,33.88,11.25,4.4,87.87,-2.72,23.9638,94.0
287.0,53.95,,,79.4,-2.54,22.5677,94.0
1146.0,36.84,14.29,3.81,82.33,-1.68,26.4707,94.0
3160.0,,,,,,0.0,110.0
3901.0,32.04,12.5,3.93,83.73,-2.52,31.522,110.0
404.0,40.17,15.0,3.91,87.55,-2.38,27.8633,110.0
889.0,34.51,12.98,4.07,125.05,-1.78,21.0791,110.0
651.0,,,,,,0.0,134.0
3200.0,37.77,,,103.56,-3.06,20.9869,134.0
932.0,46.11,16.3,4.48,103.74,,10.0912,134.0
1147.0,26.74,11.25,3.7,133.69,-2.21,4.6443,134.0
141.0,29.29,13.89,3.22,80.82,-1.66,32.7931,141.0
3209.0,29.12,9.59,4.68,113.98,,31.7546,141.0
3638.0,23.47,10.21,3.54,90.73,-0.63,28.0008,141.0
1243.0,,,,,,21.0047,141.0
1243.0,40.92,13.59,4.51,133.93,-1.78,21.0047,141.0
3758.0,26.55,12.39,3.32,95.0,-2.08,43.392,145.0
444.0,34.65,17.4,3.24,86.83,-1.92,21.3449,145.0
1272.0,41.71,14.17,4.35,100.5,-2.81,12.4229,145.0
1337.0,,,,,,16.3727,145.0
3037.0,,,,,,0.0,123.0
716.0,35.52,15.7,3.28,82.51,,23.1895,146.0
3915.0,,,,,,0.0,146.0
1465.0,,,,,,32.2554,140.0
155.0,39.83,16.98,3.42,119.56,-2.61,18.8405,155.0
596.0,32.86,10.76,4.68,135.44,-2.52,32.1332,155.0
1266.0,24.71,13.38,3.01,112.06,-2.18,37.3318,155.0
156.0,24.95,12.46,3.62,95.21,-1.77,38.1034,156.0
2536.0,42.52,11.26,5.48,131.91,-2.37,18.1007,156.0
3745.0,46.9,14.21,5.43,89.29,-1.81,31.8998,156.0
258.0,37.31,14.22,4.01,84.6,-2.82,16.4766,156.0
464.0,55.72,15.42,5.27,70.66,,28.2808,156.0
1086.0,25.25,8.24,4.42,119.4,,52.3885,156.0
162.0,37.01,13.15,3.96,77.91,-1.63,35.5585,162.0
2460.0,27.26,11.32,3.01,85.73,-0.93,16.1625,162.0
3154.0,25.44,10.84,3.24,79.1,-3.18,19.5952,162.0
3869.0,40.8,14.73,4.09,107.78,-1.97,23.0478,162.0
928.0,,,,,,44.8867,162.0
1120.0,33.21,13.34,3.83,81.26,-2.52,31.235,162.0
1888.0,36.33,13.82,3.83,89.05,-1.41,34.7801,162.0
163.0,33.56,14.74,3.41,80.78,-0.98,32.353,163.0
3776.0,36.2,14.07,3.4,105.29,-1.63,24.6418,163.0
275.0,32.37,12.23,3.77,68.5,-1.97,31.4814,163.0
721.0,35.53,11.27,4.46,89.68,-1.58,26.816,163.0
1768.0,47.16,14.1,5.08,87.67,,15.8301,163.0
2613.0,38.31,15.32,3.75,73.47,,24.9237,168.0
3182.0,51.63,15.38,5.03,101.03,-3.47,22.8039,168.0
250.0,39.97,14.74,3.68,80.41,-2.15,26.1294,168.0
723.0,41.22,14.47,4.23,112.78,-2.22,21.9335,168.0
883.0,35.65,10.17,4.71,113.11,-2.28,35.9815,168.0
1894.0,68.23,15.78,7.04,98.11,-2.62,33.4149,168.0
169.0,56.55,14.66,5.75,170.32,-2.37,8.9657,169.0
982.0,52.43,16.75,4.96,90.82,-2.18,35.4343,169.0
1420.0,,,,,,22.6078,169.0
1791.0,53.89,14.99,6.05,87.13,-2.73,9.284,169.0
177.0,25.88,15.02,2.51,89.71,-2.3,27.8386,177.0
2425.0,19.08,9.13,3.3,86.71,,13.9417,177.0
2425.0,,,,,,13.9417,177.0
3218.0,,,,,,27.538,177.0
3879.0,29.57,11.11,4.01,105.26,-2.91,20.3915,177.0
1111.0,,,,,,0.0,177.0
424.0,21.78,10.98,3.01,122.09,-2.39,46.0003,177.0
900.0,32.35,9.56,4.95,183.8,-1.78,15.0399,177.0
485.0,,,,,,37.1484,199.0
485.0,57.29,16.66,5.68,104.16,-3.31,37.1484,199.0
2518.0,41.36,13.59,4.88,105.25,,22.5379,199.0
3541.0,42.23,15.67,4.0,106.67,-2.36,29.9423,199.0
3832.0,40.34,15.07,3.62,94.91,-2.25,18.0917,199.0
1234.0,42.34,18.16,3.49,66.11,-1.88,26.5043,199.0
3121.0,43.59,20.36,3.6,65.6,-2.44,15.2964,202.0
3648.0,34.47,11.16,4.86,110.0,-1.86,23.2057,202.0
3957.0,33.09,16.13,3.44,89.95,-2.29,19.5749,202.0
1462.0,,,,,,39.9736,202.0
1788.0,42.01,11.35,5.08,108.98,-1.93,28.0633,202.0
206.0,25.42,9.89,4.03,81.72,-2.86,25.8668,206.0
3323.0,25.75,11.49,3.39,116.23,-2.08,12.8272,206.0
3771.0,20.37,11.06,2.67,64.24,-2.69,26.1114,206.0
489.0,22.65,8.41,3.77,100.68,-2.63,20.9005,206.0
1893.0,21.99,9.17,3.56,104.97,-1.96,7.3858,206.0
207.0,29.97,16.98,3.04,65.3,-1.12,42.4753,207.0
2570.0,27.17,16.6,2.73,82.19,-2.21,20.3627,207.0
2570.0,37.1,16.22,3.55,85.68,-2.02,20.3627,207.0
395.0,66.19,12.64,7.04,115.82,,8.8761,207.0
607.0,28.12,14.3,2.88,73.91,-2.67,22.3617,207.0
687.0,40.79,21.22,3.19,66.35,-2.09,20.4408,207.0
1155.0,44.96,19.38,3.21,101.94,-2.47,8.025,207.0
3786.0,40.5,14.11,4.62,152.85,-2.11,26.902,208.0
346.0,28.48,11.93,3.38,85.75,-2.86,34.5191,208.0
856.0,26.17,11.16,3.58,93.64,-2.64,4.051,208.0
1099.0,35.35,15.34,3.2,113.51,-2.53,41.1988,208.0
3557.0,33.53,11.61,4.18,122.05,-2.85,28.6455,211.0
3854.0,35.13,10.73,4.54,102.93,-1.37,0.9533,211.0
296.0,47.86,16.95,4.08,112.47,-2.43,12.1084,211.0
1812.0,39.1,18.76,3.4,82.4,,22.7542,211.0
363.0,36.96,15.92,3.65,95.51,-2.0,23.7205,214.0
1217.0,40.26,14.38,4.36,121.12,-1.27,26.6946,214.0
2429.0,25.45,9.31,3.61,103.26,-2.12,38.5431,211.0
3826.0,34.79,17.39,3.14,95.71,-1.82,24.3063,220.0
322.0,42.18,18.46,3.78,85.47,-2.44,31.3034,220.0
795.0,36.75,13.73,4.07,118.56,,15.1696,220.0
964.0,38.89,12.19,4.72,81.7,-3.1,17.5728,220.0
1873.0,30.94,16.16,3.3,87.01,-2.23,21.523,220.0
157.0,30.48,12.33,4.0,103.15,-2.76,3.7824,157.0
3287.0,39.15,16.97,3.54,85.11,-2.48,27.1842,157.0
3893.0,28.19,12.2,3.64,93.95,-1.86,29.4685,157.0
273.0,49.43,17.63,4.3,77.42,-1.74,13.7849,157.0
