data,temperatura,umidade,preciptacao,idade
2020-01-01,26.450694444444444,70.125,6.6989010989011,18
2020-10-01,29.606597222222224,39.15625,0.0,30
2020-11-01,22.539583333333333,88.85069444444444,46.266906474820146,30
2020-12-01,26.164583333333333,64.18402777777777,0.0,30
2020-02-01,27.819444444444443,71.35416666666667,0.0,18
2020-03-01,24.575000000000003,83.56944444444444,4.95375,18
2020-04-01,25.726736111111112,75.04513888888889,0.0,18
2020-05-01,20.791319444444444,72.44444444444444,0.0,18
2020-06-01,19.22361111111111,73.62847222222223,0.0,18
2020-07-01,20.676041666666666,73.15277777777777,0.0,18
2020-08-01,21.463541666666668,66.87847222222223,0.0,18
2020-09-01,25.37326388888889,51.548611111111114,0.0,18
2020-01-10,27.679166666666667,76.01736111111111,1.9500000000000002,18
2020-10-10,32.37013888888889,39.06597222222222,0.0,30
2020-11-10,27.75993031358885,59.358885017421606,0.0,30
2020-12-10,23.545486111111114,85.80902777777777,0.8931818181818177,30
2020-02-10,25.430902777777778,81.51736111111111,0.0,18
2020-03-10,24.812847222222224,80.23958333333333,0.0,18
2020-04-10,25.013541666666665,79.73611111111111,0.29999999999999993,18
2020-05-10,19.145833333333332,74.47916666666667,0.0,18
2020-06-10,22.178472222222222,71.0,0.0,18
2020-07-10,21.501041666666666,58.65972222222222,0.0,18
2020-08-10,23.579166666666666,55.510416666666664,0.0,18
2020-09-10,25.71388888888889,44.15972222222222,0.0,18
2020-01-11,27.465625000000003,64.57986111111111,0.0,18
2020-10-11,27.905902777777776,57.69097222222222,0.0,30
2020-11-11,28.453472222222224,59.68402777777778,0.0,30
2020-12-11,24.024652777777778,81.77777777777777,20.01107142857143,30
2020-02-11,24.774652777777778,84.48263888888889,5.227397260273972,18
2020-03-11,24.09548611111111,83.95833333333333,2.4473684210526314,18
2020-04-11,24.923958333333335,82.25694444444444,5.960583941605838,18
2020-05-11,20.033333333333335,73.59722222222223,0.0,18
2020-06-11,21.177430555555556,69.67708333333333,0.0,18
2020-07-11,21.697543859649123,61.098245614035086,0.0,18
2020-08-11,23.943402777777777,56.4375,0.0,18
2020-09-11,25.466319444444444,39.37847222222222,0.0,18
2020-01-12,27.33888888888889,62.173611111111114,0.0,18
2020-10-12,27.477777777777778,61.84375,0.0,30
2020-11-12,26.603819444444444,68.33333333333333,0.5888888888888888,30
2020-12-12,24.256597222222222,82.78125,0.0,30
2020-02-12,24.50277777777778,84.18402777777777,0.0,18
2020-03-12,25.436111111111114,80.39236111111111,0.2999999999999999,18
2020-04-12,25.058680555555554,80.32291666666667,0.0,18
2020-05-12,20.967361111111114,75.23958333333333,0.0,18
2020-06-12,21.62986111111111,66.21527777777777,0.0,18
2020-07-12,20.217361111111114,63.104166666666664,0.0,18
2020-08-12,23.758680555555557,61.55555555555556,0.0,18
2020-09-12,26.566319444444446,41.55902777777778,0.0,18
2020-01-13,27.59826388888889,63.94444444444444,0.0,18
2020-10-13,27.221874999999997,62.791666666666664,1.1872641509433959,30
2020-11-13,24.63888888888889,79.90972222222223,2.7758490566037737,30
2020-12-13,25.948958333333334,64.09375,0.0,30
2020-02-13,24.37222222222222,80.9375,0.0,18
2020-03-13,25.17013888888889,80.85416666666667,0.0,18
2020-04-13,24.65173611111111,78.97569444444444,0.0,18
2020-05-13,22.052777777777777,75.52083333333333,0.0,18
2020-06-13,22.061111111111114,67.10069444444444,0.0,18
2020-07-13,20.466319444444444,62.572916666666664,0.0,18
2020-08-13,23.364930555555556,60.46875,0.0,18
2020-09-13,25.446527777777778,47.62152777777778,0.0,18
2020-01-14,28.486458333333335,62.72222222222222,0.0,18
2020-10-14,29.401736111111113,54.24305555555556,0.0,30
2020-11-14,22.916319444444444,87.0625,11.550522648083621,30
2020-12-14,24.710763888888888,61.270833333333336,0.0,30
2020-02-14,26.610416666666666,76.16319444444444,0.0,18
2020-03-14,25.131597222222222,80.70486111111111,0.0,18
2020-04-14,23.53240418118467,79.94425087108014,0.9714285714285713,18
2020-05-14,23.485069444444445,75.375,0.0,18
2020-06-14,22.064930555555556,66.73958333333333,0.0,18
2020-07-14,20.613541666666666,61.53125,0.0,18
2020-08-14,23.751388888888886,56.10069444444444,0.0,18
2020-09-14,25.430208333333333,48.701388888888886,0.0,18
2020-01-15,27.65451388888889,71.15625,0.3,18
2020-10-15,30.130208333333332,49.458333333333336,0.0,30
2020-11-15,24.542708333333334,82.61458333333333,2.6873949579831935,30
2020-12-15,25.861458333333335,63.729166666666664,0.0,30
2020-02-15,26.563194444444445,76.82291666666667,0.0,18
2020-03-15,24.657638888888886,75.90972222222223,0.0,18
2020-04-15,21.846,90.87,1.2065934065934065,18
2020-05-15,23.542708333333334,77.54513888888889,0.0,18
2020-06-15,20.98784722222222,70.78125,0.0,18
2020-07-15,21.293055555555554,59.12152777777778,0.0,18
2020-08-15,24.080208333333335,57.80902777777778,0.0,18
2020-09-15,26.394791666666666,42.15277777777778,0.0,18
2020-01-16,28.48194444444444,69.30902777777777,0.0,18
2020-10-16,29.835416666666667,51.854166666666664,0.0,30
2020-11-16,25.805208333333333,77.90972222222223,0.0,30
2020-12-16,26.501388888888886,66.96527777777777,0.0,30
2020-02-16,26.844444444444445,75.44791666666667,0.0,18
2020-03-16,24.353819444444444,78.37847222222223,0.0,18
2020-04-16,22.45590277777778,89.16319444444444,1.7705882352941174,18
2020-05-16,23.251041666666666,82.93402777777777,1.1940298507462683,18
2020-06-16,21.618118466898952,72.21602787456446,0.0,18
2020-07-16,22.078472222222224,64.54166666666667,0.0,18
