individuo_id,potencial_hidrico_foliar_18,area_foliar_especifica_18,area_foliar_individual_18,comprimento_foliar_18,largura_foliar_18,ima_18,densidade_estomatica_abaxial_18,densidade_estomatica_adaxial_18,progenie
2556.0,-2.41,94.08,23.66,13.53,3.09,17.2418,0.0,0.0,45.0
3171.0,-2.46,69.2,33.91,16.81,2.01,24.0837,326.23,205.75,45.0
3800.0,-2.64,,,,,18.1402,144.58,111.21,45.0
525.0,-3.58,95.03,20.87,8.98,3.87,1.1012,0.0,0.0,49.0
1206.0,-2.73,90.46,22.62,13.26,3.17,15.5845,0.0,0.0,49.0
1763.0,-2.38,84.44,31.57,14.24,3.71,8.4424,386.47,0.0,49.0
2575.0,-2.33,91.01,1.2,14.49,3.72,16.654,414.27,0.0,49.0
3085.0,-2.4,89.08,34.36,11.48,4.63,10.5024,328.08,0.0,49.0
3942.0,-3.03,,,,,6.2641,544.39,0.0,49.0
466.0,-3.1,96.23,3.2,14.86,3.89,9.3583,542.57,0.0,52.0
1290.0,-1.89,76.81,38.91,11.1,4.75,5.0595,341.11,97.87,52.0
1897.0,-3.17,,,,,12.1658,0.0,0.0,52.0
2582.0,-1.74,95.94,20.72,14.22,1.01,13.477,487.12,0.0,52.0
3135.0,-3.15,104.58,27.61,12.1,2.1,12.3759,465.99,0.0,52.0
3769.0,,85.29,28.62,14.61,2.1,14.1001,358.11,0.0,52.0
471.0,-1.84,80.88,42.0,17.56,2.01,18.0098,205.41,31.14,60.0
1287.0,-2.72,84.32,37.25,13.64,4.75,14.9208,558.29,0.0,60.0
1818.0,-2.6,96.69,6.3,13.83,4.54,17.2418,258.57,0.0,60.0
2607.0,-2.6,88.11,38.49,17.48,6.82,7.4855,0.0,0.0,60.0
3181.0,-2.55,92.58,41.03,15.52,4.24,10.3981,435.96,88.97,60.0
3749.0,-2.71,92.03,58.95,14.84,6.1,14.6361,0.0,0.0,60.0
1198.0,-2.6,86.64,31.56,12.45,4.06,3.2725,408.71,0.0,64.0
1881.0,-2.71,101.63,53.2,13.91,4.01,5.8261,0.0,0.0,64.0
2591.0,-2.42,89.28,29.76,13.85,3.47,14.529,288.6,158.17,64.0
3104.0,-2.13,98.94,40.52,14.77,4.66,8.2997,419.14,191.4,64.0
3844.0,-2.17,77.96,49.11,16.6,4.94,22.4622,0.0,0.0,64.0
442.0,-3.06,81.99,33.17,17.1,3.31,14.8205,0.0,0.0,66.0
1235.0,,,,,,12.8239,0.0,0.0,66.0
1945.0,-2.9,90.19,31.61,14.1,2.1,8.6148,0.0,0.0,66.0
2528.0,-1.98,119.94,41.38,14.13,4.69,9.1497,0.0,0.0,66.0
2642.0,,94.88,40.18,17.35,4.16,6.8967,0.0,0.0,66.0
2956.0,,,,,,17.992,0.0,0.0,66.0
653.0,-2.81,91.46,34.85,16.65,3.42,18.1926,0.0,0.0,68.0
1121.0,-2.66,71.63,27.83,16.32,2.01,3.0458,0.0,0.0,68.0
1980.0,-2.43,,,,,9.7522,0.0,0.0,68.0
2621.0,-1.98,76.79,46.15,20.85,3.63,20.0082,0.0,0.0,68.0
3091.0,-2.46,63.88,53.16,25.37,3.46,13.6126,0.0,0.0,68.0
3958.0,-1.96,63.67,63.74,19.01,3.01,23.3687,0.0,0.0,68.0
511.0,-2.42,95.44,5.2,12.69,3.01,10.2527,0.0,0.0,76.0
1219.0,-2.87,88.96,42.12,16.26,3.95,4.2417,0.0,0.0,76.0
2837.0,,,,,,18.7572,0.0,0.0,76.0
2993.0,,107.11,40.41,16.66,4.15,10.0798,378.68,176.71,76.0
3151.0,-2.61,98.8,36.5,17.95,3.52,22.9523,368.67,179.05,76.0
3789.0,-2.89,72.86,26.23,13.01,2.55,10.9942,0.0,0.0,76.0
614.0,-2.99,138.3,29.6,8.1,4.94,2.9973,511.03,0.0,79.0
1291.0,-3.06,81.4,28.22,13.32,3.67,22.5034,407.78,0.0,79.0
1884.0,-3.35,101.43,26.96,10.57,4.0,1.516,280.26,129.01,79.0
2470.0,-2.73,60.86,28.2,17.78,1.1,28.0061,210.19,154.03,79.0
3178.0,-3.08,91.59,22.16,10.8,3.14,11.0115,380.35,0.0,79.0
3943.0,-3.24,79.21,30.85,13.1,3.48,2.9948,336.98,0.0,79.0
546.0,-3.07,98.94,25.49,9.71,4.08,9.5073,469.32,79.52,81.0
1281.0,-2.76,82.64,41.83,13.01,4.7,20.3249,315.11,0.0,81.0
