data,temperatura,umidade,temperatura_minima,temperatura_maxima,umidade_minima,umidade_maxima,preciptacao_minima,preciptacao_maxima,preciptacao_acumulada,preciptacao,idade
Jan/20,27.780836220226636,61.037980681518164,23.3,44.1,29,85,0.3,102.0,225.74007501608176,14.10875468850511,18
Fev/20,27.427717159277503,61.83500961191878,21.9,37.6,36,86,0.3,59.4,160.23336465668132,17.803707184075698,18
Mar/20,26.087033552059385,66.19576297497602,21.8,33.0,36,84,0.3,102.9,151.29949028956878,9.45621814309805,18
Abr/20,26.052366386269956,63.91302185576127,20.0,35.0,38,80,0.3,6.3,14.373379969107749,1.59704221878975,18
Mai/20,24.122031810035843,57.78080197132616,13.8,32.0,36,78,0.3,9.0,10.047066287993232,3.349022095997744,18
Jun/20,23.96272506936379,51.95316895728481,16.1,30.6,32,75,,,0.0,0.0,18
Jul/20,24.10384337860781,44.781267685342385,16.5,30.8,23,68,,,0.0,0.0,18
Ago/20,24.925318077802892,40.33135490940247,16.1,33.5,18,60,,,0.0,0.0,18
Set/20,27.544340277777778,30.29988425925926,20.6,37.9,18,66,,,0.0,0.0,18
Out/20,28.314249933122703,44.40668406953213,21.8,39.0,18,78,0.3,57.3,76.91283360506789,6.992075782278899,30
Nov/20,27.250801045235296,57.85777653598639,21.0,38.0,29,79,0.3,70.5,84.31775559150196,9.368639510166885,30
Dez/20,28.47809139784946,52.96695788530466,21.3,39.3,27,75,0.3,29.1,86.34132876023332,7.195110730019445,30
