individuo_id,potencial_hidrico_foliar_30,area_foliar_individual_30,area_foliar_especifica_30,comprimento_foliar_30,largura_foliar_30,densidade_estomatica_adaxial_30,densidade_estomatica_abaxial_30,ima_30,progenie
3901.0,-3.2,42.79,75.56,16.3,4.52,0.0,411.62,13.2654053,110.0
404.0,-3.9,45.93,90.24,16.21,4.56,0.0,401.26,22.8640718,110.0
889.0,-3.88,33.35,103.27,14.08,3.77,256.27,338.88,15.6082074,110.0
1105.0,-2.72,34.74,112.24,13.33,4.36,0.0,0.0,4.23630669,124.0
1794.0,-3.57,37.4,118.46,14.47,3.89,0.0,0.0,4.53893982,124.0
2534.0,-3.92,45.16,94.68,11.7,5.36,129.5,208.48,2.64833825,124.0
3291.0,-4.76,41.65,90.63,14.71,4.07,0.0,304.41,11.3355689,124.0
124.0,-2.88,40.36,107.71,15.03,4.12,0.0,0.0,10.0356963,124.0
2341.0,-3.57,39.02,104.18,13.31,4.5,0.0,169.84,20.105089,134.0
1147.0,-2.76,32.7,111.23,11.73,3.76,39.34,356.58,2.77056924,134.0
134.0,-3.56,35.57,123.73,13.07,4.4,71.33,178.33,1.9141374,134.0
754.0,-4.71,56.0,121.34,19.42,4.62,0.0,323.7,20.6061087,134.0
932.0,-3.4,43.21,108.17,15.24,4.61,0.0,393.14,6.9709308,134.0
4330.0,-3.86,44.67,84.37,17.53,4.13,0.0,0.0,16.7863901,141.0
1243.0,-4.52,28.86,88.78,13.06,3.22,0.0,821.06,14.6989393,141.0
3209.0,-3.25,28.08,106.47,13.62,3.45,107.42,241.17,18.0750677,141.0
444.0,-3.48,28.9,,15.85,3.01,91.04,374.28,14.9400416,145.0
2241.0,-4.06,28.16,91.42,14.69,2.96,38.21,221.64,15.1833815,145.0
1272.0,-3.46,47.92,66.6,18.35,3.98,71.76,225.46,12.2281925,145.0
3125.0,-3.57,32.65,90.96,12.29,3.57,0.0,0.0,21.0761729,145.0
2306.0,-4.06,64.81,87.03,17.09,5.93,0.0,357.42,18.1609716,146.0
