individuo_id,area_foliar_especifica_6,area_foliar_individual_6,comprimento_foliar_6,largura_foliar_6,potencial_hidrico_foliar_6,ima_6,densidade_estomatica_adaxial_6,densidade_estomatica_abaxial_6,progenie
611.0,,31.07,11.71,4.01,-2.04,0.5349834257,0.0,533.8,38.0
1113.0,,,,,-2.13,2.395265978,0.0,690.9,38.0
1880.0,135.16,20.6,8.14,3.79,-1.96,0.7101294617,0.0,0.0,38.0
2560.0,167.06,19.66,8.17,3.43,-2.06,0.009668662793,0.0,708.6,38.0
3268.0,121.22,36.98,12.61,4.47,,2.037183272,0.0,613.1,38.0
3858.0,140.96,42.9,11.53,5.33,-2.22,0.3088242516,0.0,560.8,38.0
535.0,153.52,39.4,12.37,4.76,-1.66,3.057048147,109.6,329.2,44.0
1139.0,,,,,-2.35,0.8310275354,0.0,0.0,44.0
2102.0,97.29,26.65,12.11,3.0,-2.2,0.3183098862,153.5,312.0,44.0
2574.0,101.95,20.02,10.97,3.05,-2.5,0.5968310366,194.6,318.8,44.0
3203.0,90.1,23.96,11.08,3.67,,0.0,177.9,368.4,44.0
4318.0,156.62,52.52,12.69,5.69,-2.0,0.2166496663,0.0,373.7,44.0
540.0,,37.79,13.27,4.32,-1.84,1.485106605,276.9,421.4,45.0
1295.0,117.3,35.49,11.57,4.54,-2.48,0.3437746771,142.4,618.3,45.0
1844.0,139.96,19.4,9.77,2.91,-3.0,1.364753637,275.8,401.6,45.0
2556.0,124.24,15.38,7.36,3.09,-2.26,0.2299788928,248.0,471.5,45.0
3171.0,100.71,35.5,13.79,3.79,-2.4,1.103162594,220.2,339.8,45.0
3800.0,125.14,24.53,12.06,3.26,-2.03,1.232686865,194.6,347.0,45.0
466.0,148.23,14.67,7.31,2.97,-3.0,0.1185386016,0.0,597.8,52.0
1290.0,89.31,27.79,9.72,4.06,-2.88,0.3183098862,158.5,516.6,52.0
1897.0,124.65,17.54,7.89,3.61,-2.7,0.3328526691,0.0,522.7,52.0
2582.0,124.19,19.49,9.88,3.21,-2.11,0.5487025818,0.0,600.6,52.0
3135.0,124.32,21.52,10.64,3.69,,0.1683063523,0.0,549.1,52.0
3769.0,118.52,16.23,8.16,3.29,-2.82,0.4119884857,0.0,515.8,52.0
559.0,114.13,37.69,14.38,4.1,-1.8,1.46223604,175.7,474.9,58.0
1185.0,119.34,40.65,12.12,5.31,-1.9,1.658744648,96.2,386.8,58.0
1806.0,131.63,14.67,8.02,2.84,-1.96,0.4546420104,153.5,453.8,58.0
2535.0,106.5,34.49,11.25,4.93,-1.73,0.1629746617,0.0,0.0,58.0
3145.0,118.4,36.99,10.32,5.08,,0.07896074614,0.0,451.8,58.0
3831.0,,,11.53,5.21,-2.18,0.4450091575,111.2,278.0,58.0
479.0,134.91,53.37,13.61,5.64,-2.06,1.010442903,113.4,318.1,59.0
1267.0,,,,,-2.1,0.9167324722,0.0,631.1,59.0
2099.0,122.01,29.71,9.16,4.71,-2.16,0.5042028597,166.8,362.6,59.0
2494.0,96.67,33.64,10.33,5.34,-1.97,0.0870378595,0.0,422.6,59.0
3350.0,127.98,47.48,11.98,5.98,,0.212316673,0.0,393.0,59.0
3770.0,123.3,48.17,12.25,5.98,-1.58,1.09180291,0.0,435.1,59.0
471.0,119.11,52.73,15.03,5.66,-2.35,1.345257156,66.7,278.0,60.0
1287.0,96.79,54.75,14.06,5.85,-2.6,1.357018707,44.5,418.9,60.0
2176.0,122.66,47.89,12.95,5.58,-2.25,0.3435582264,51.9,410.1,60.0
2607.0,106.23,53.31,10.93,7.04,-2.43,0.3076703782,176.1,383.7,60.0
3181.0,112.66,34.62,11.0,5.24,,0.3466394661,150.1,383.7,60.0
3749.0,91.52,63.77,12.75,7.56,-1.57,1.275726341,144.6,438.2,60.0
575.0,128.89,15.07,7.23,2.92,-4.1,0.03219704499,0.0,792.4,64.0
1198.0,131.52,16.81,8.29,2.87,-2.23,0.03909641177,0.0,597.7,64.0
2591.0,108.45,29.99,10.48,4.18,-2.21,0.716175758,202.4,420.9,64.0
3302.0,,,,,-2.16,0.1647253661,241.9,453.8,64.0
3844.0,109.31,71.52,13.27,7.66,-2.53,2.012315312,121.2,422.6,64.0
2745.0,,,,,-2.3,0.5254301503,72.3,496.0,84.0
1209.0,125.37,29.75,10.06,4.08,-2.0,1.658744648,134.8,525.5,84.0
2892.0,98.78,31.64,11.3,4.07,-2.44,0.5337101862,66.7,412.9,84.0
