data,temperatura,umidade,temperatura_minima,temperatura_maxima,umidade_minima,umidade_maxima,preciptacao_minima,preciptacao_maxima,preciptacao_acumulada,preciptacao,idade
Jan/22,27.589718711194102,62.97312824960403,22.0,38.7,33,88,0.3,49.8,96.66444190185923,8.787676536532658,36
Fev/22,26.653316724294605,65.00214568509372,22.5,33.0,34,82,0.3,24.3,48.02556444647734,8.004260741079555,36
Mar/22,27.38977411022824,55.81718295204357,21.5,34.2,33,70,,,0.0,0.0,36
Abr/22,26.991900928482956,53.445104025184776,19.5,34.3,31,75,0.3,5.4,9.349854166666667,2.3374635416666667,42
Mai/22,22.98534174142055,48.34489609235085,11.0,30.5,26,72,0.3,6.6,4.0055555555555555,4.0055555555555555,42
Jun/22,22.80918124729783,46.65017044822981,14.1,29.1,26,62,,,0.0,0.0,42
Jul/22,23.245858509364705,42.92465975346031,15.9,30.5,21,64,,,0.0,0.0,42
Ago/22,24.958827736186073,35.559952925291306,16.6,32.2,21,59,,,0.0,0.0,42
Set/22,27.390616641235244,35.755718913388485,18.0,35.4,18,70,0.9,8.7,12.997902629863075,6.4989513149315385,42
