,individuo_id,progenie,cap,altura,dap,volume,ima,resistente
0,1,1,2.6,1.8,0.8276,4.4e-05,0.09683,1
1,401,1,4.7,2.7,1.4961,0.000214,0.474624,1
2,458,1,5.6,2.65,1.7825,0.000298,0.661321,1
3,849,1,,1.07,,,,0
4,1055,1,3.6,2.4,1.1459,0.000111,0.247518,1
5,1210,1,8.3,3.0,2.642,0.00074,1.644628,1
6,1501,1,4.5,2.7,1.4324,0.000196,0.43509,1
7,1582,1,10.6,4.25,3.3741,0.00171,3.800063,1
8,1811,1,3.8,2.55,1.2096,0.000132,0.29302,1
9,2039,1,0.9,1.45,0.2865,4e-06,0.009346,1
10,2409,1,4.2,2.25,1.3369,0.000142,0.315843,1
11,2585,1,0.5,1.5,0.1592,1e-06,0.002984,1
12,2779,1,6.8,3.0,2.1645,0.000497,1.103899,1
13,2919,1,4.9,2.75,1.5597,0.000236,0.52543,1
14,3084,1,2.0,1.75,0.6366,2.5e-05,0.055704,1
15,3418,1,,1.2,,,,0
16,3734,1,3.0,2.15,0.9549,6.9e-05,0.153982,1
17,3793,1,4.8,2.6,1.5279,0.000215,0.476701,1
18,4025,1,3.0,2.3,0.9549,7.4e-05,0.164725,1
19,4290,1,2.6,1.8,0.8276,4.4e-05,0.09683,1
20,2,2,5.0,3.05,1.5915,0.000273,0.606778,1
21,392,2,9.4,4.75,2.9921,0.001503,3.339946,1
22,565,2,4.3,3.0,1.3687,0.000199,0.441416,1
23,780,2,9.3,4.45,2.9603,0.001378,3.062782,1
24,1016,2,6.1,3.0,1.9417,0.0004,0.888323,1
25,1220,2,2.6,2.0,0.8276,4.8e-05,0.107589,1
26,1526,2,5.7,3.25,1.8144,0.000378,0.840278,1
27,1735,2,4.9,3.0,1.5597,0.000258,0.573197,1
28,1930,2,4.3,2.45,1.3687,0.000162,0.36049,1
29,2075,2,3.9,3.05,1.2414,0.000166,0.369164,1
30,2292,2,5.7,3.0,1.8144,0.000349,0.775642,1
31,2437,2,5.7,3.25,1.8144,0.000378,0.840278,1
32,2849,2,,,,,,0
33,3008,2,4.0,2.5,1.2732,0.000143,0.31831,1
34,3247,2,5.1,3.1,1.6234,0.000289,0.641641,1
35,3438,2,4.1,2.8,1.3051,0.000169,0.374555,1
36,3544,2,4.0,2.6,1.2732,0.000149,0.331042,1
37,3814,2,6.3,2.4,2.0054,0.000341,0.758023,1
38,4149,2,7.5,3.6,2.3873,0.000725,1.611444,1
39,4237,2,3.5,2.25,1.1141,9.9e-05,0.219335,1
40,3,3,9.2,4.0,2.9285,0.001212,2.694175,1
41,311,3,4.2,2.2,1.3369,0.000139,0.308824,1
42,476,3,4.5,2.75,1.4324,0.000199,0.443147,1
43,781,3,9.5,1.3,3.0239,0.00042,0.933643,1
44,1026,3,7.6,4.0,2.4192,0.000827,1.838558,1
45,1130,3,7.8,4.0,2.4828,0.000871,1.936597,1
46,1373,3,9.7,4.25,3.0876,0.001432,3.182164,1
47,1688,3,6.8,3.7,2.1645,0.000613,1.361475,1
48,1785,3,5.2,2.75,1.6552,0.000266,0.591738,1
49,2061,3,3.9,2.5,1.2414,0.000136,0.302593,1
50,2410,3,6.7,3.45,2.1327,0.000555,1.23242,1
51,2539,3,6.1,3.5,1.9417,0.000466,1.036377,1
52,2812,3,4.6,2.05,1.4642,0.000155,0.345191,1
53,2861,3,4.8,2.5,1.5279,0.000206,0.458366,1
54,3240,3,4.5,2.75,1.4324,0.000199,0.443147,1
55,3436,3,5.8,3.15,1.8462,0.000379,0.843251,1
56,3626,3,4.3,2.5,1.3687,0.000166,0.367847,1
57,3940,3,3.0,2.25,0.9549,7.3e-05,0.161144,1
58,4031,3,5.6,3.3,1.7825,0.000371,0.823531,1
59,4222,3,3.0,2.2,0.9549,7.1e-05,0.157563,1
60,4,4,4.8,2.9,1.5279,0.000239,0.531705,1
