progenie,genotipo,cruzamento
88,GG1883xGG2759,(E. urophylla) x (E. urophylla)
89,GG1883xGG3389,(E. urophylla) x (E. urophylla HE)
90,GG1883xGG3633,(E. urophylla) x (E. camaldulensis)
91,GG1883xGG4302,(E. urophylla) x (E. brassiana)
92,GG1883xGG4304,(E. urophylla) x (E. urophylla x E. tereticornis)
93,GG1883xGG4383,(E. urophylla) x ((E. grandis x E. brassiana) x E. pellita)
94,GG1883xGG4386,(E. urophylla) x (E. pellita x E. brassiana)
95,GG1883xAEC2034,(E. urophylla) x (E. urophylla x (E. camaldulensis x E. grandis))
96,GG1883xI3000,(E. urophylla) x (E. camaldulensis)
97,GG1883xVM1,(E. urophylla) x (E. urophylla x E. camaldulensis)
98,GG682xVCC1006,(E. urophylla x E. grandis) x (E. urophylla x E. grandis)
99,GG682xVCC2880,(E. urophylla x E. grandis) x (E. urophylla x E. grandis)
100,GG3633xGG3633,(E. camaldulensis) x (E. camaldulensis)
101,GG2759xGG4386,(E. urophylla) x (E. pellita x E. brassiana)
102,GG1883xVM4,(E. urophylla) x (E. urophylla HE)
103,GG1883xVM7,(E. urophylla) x (E. urophylla HE)
104,GG1883xVCC1006,(E. urophylla) x (E. urophylla x E. grandis)
105,GG3389xGG4386,(E. urophylla HE) x (E. pellita x E. brassiana)
106,GG1883xVCC2880,(E. urophylla) x (E. urophylla x E. grandis)
107,GG1883xVS2,(E. urophylla) x (E. camaldulensis)
108,GG1883xCNB16,(E. urophylla) x (E. urophylla HE)
109,GG1883xVT4,(E. urophylla) x (E. urophylla x E. grandis)
110,GG3633xGG4302,(E. camaldulensis) x (E. brassiana)
111,GG3389xGG3633,(E. urophylla HE) x (E. camaldulensis)
112,GG2759xVT4,(E. urophylla) x (E. urophylla x E. grandis)
113,GG3633xGG4304,(E. camaldulensis) x (E. urophylla x E. tereticornis)
114,GG3389xI3000,(E. urophylla HE) x (E. camaldulensis)
115,GG3389xVM1,(E. urophylla HE) x (E. urophylla x E. camaldulensis)
116,GG3389xVM4,(E. urophylla HE) x (E. urophylla HE)
117,GG3389xVM7,(E. urophylla HE) x (E. urophylla HE)
118,GG3389xVT4,(E. urophylla HE) x (E. urophylla x E. grandis)
119,GG3633xAEC2034,(E. camaldulensis) x (E. urophylla x (E. camaldulensis x E. grandis))
120,GG3633xAEC2197,(E. camaldulensis) x (E. urophylla x (E. camaldulensis x E. grandis))
121,GG3633xI3000,(E. camaldulensis) x (E. camaldulensis)
122,GG3633xVM1,(E. camaldulensis) x (E. urophylla x E. camaldulensis)
123,GG3633xVM4,(E. camaldulensis) x (E. urophylla HE)
124,GG4302xGG4302,(E. brassiana) x (E. brassiana)
125,GG4302xGG4304,(E. brassiana) x (E. urophylla x E. tereticornis)
126,GG3389xVCC2880,(E. urophylla HE) x (E. urophylla x E. grandis)
127,GG3633xVM7,(E. camaldulensis) x (E. urophylla HE)
128,GG4302xGG4383,(E. brassiana) x ((E. grandis x E. brassiana) x E. pellita)
129,GG4302xGG4386,(E. brassiana) x (E. pellita x E. brassiana)
130,GG3633xVS2,(E. camaldulensis) x (E. camaldulensi)
131,GG3633xVS62,(E. camaldulensis) x (E. camaldulensi)
132,GG4386xAEC2034,(E. pellita x E. brassiana) x (E. urophylla x (E. camaldulensis x E. grandis))
133,GG4302xAEC2034,(E. brassiana) x (E. urophylla x (E. camaldulensis x E. grandis))
134,GG4304xAEC2197,(E. urophylla x E. tereticornis) x (E. urophylla x (E. camaldulensis x E. grandis))
135,GG3633xCNB16,(E. camaldulensis) x (E. urophylla HE)
136,GG3633xVT4,(E. camaldulensis) x (E. urophylla x E. grandis)
137,GG4302xAEC2197,(E. brassiana) x (E. urophylla x (E. camaldulensis x E. grandis))
138,GG4304xI3000,(E. urophylla x E. tereticornis) x (E. camaldulensis)
139,GG4304xVM1,(E. urophylla x E. tereticornis) x (E. urophylla x E. camaldulensis)
140,GG4304xVM4,(E. urophylla x E. tereticornis) x (E. urophylla HE)
141,GG2034xPEL,(E. grandis HE) x (E. pellita)
142,GG2034xTER,(E. grandis HE) x (E. tereticornis)
143,GG682xPEL,(E. urophylla x E. grandis) x (E. pellita)
144,GG682xTER,(E. urophylla x E. grandis) x (E. tereticornis)
145,GG682xBRA,(E. urophylla x E. grandis) x (E. brassiana)
146,GG918xPEL,(E. camaldulensis) x (E. pellita)
147,GG1883xPEL,(E. urophylla) x (E. pellita)
148,GG1883xTER,(E. urophylla) x (E. tereticornis)
149,GG1883xBRA,(E. urophylla) x (E. brassiana)
150,GG2759xBRA,(E. urophylla) x (E. brassiana)
151,GG918xTER,(E. camaldulensis) x (E. tereticornis)
152,GG918xBRA,(E. camaldulensis) x (E. brassiana)
153,GG3389xPEL,(E. urophylla HE) x (E. pellita)
154,GG3389xTER,(E. urophylla HE) x (E. tereticornis)
155,GG3389xBRA,(E. urophylla HE) x (E. brassiana)
156,GG3633xPEL,(E. camaldulensis) x (E. pellita)
157,GG3633xTER,(E. camaldulensis) x (E. tereticornis)
158,GG3633xBRA,(E. camaldulensis) x (E. brassiana)
159,GG2759xCAM,(E. urophylla) x (E. camaldulensis)
160,GG682xCAM,(E. urophylla x E. grandis) x (E. camaldulensis)
161,AEC2034xI3000,(E. urophylla x (E. camaldulensis x E. grandis)) x (E. camaldulensis)
162,AEC2034xLR830,(E. urophylla x (E. camaldulensis x E. grandis)) x (E. longirostrata)
163,AEC2034xLR831,(E. urophylla x (E. camaldulensis x E. grandis)) x (E. longirostrata)
164,AEC2034xVM1,(E. urophylla x (E. camaldulensis x E. grandis)) x (E. urophylla x E. camaldulensis)
165,AEC2034xVCC2880,(E. urophylla x (E. camaldulensis x E. grandis)) x (E. urophylla x E. grandis)
166,AEC2034xCNB16,(E. urophylla x (E. camaldulensis x E. grandis)) x (E. urophylla HE)
167,AEC2034xLON,(E. urophylla x (E. camaldulensis x E. grandis)) x (E. longirostrata)
168,AEC2034xCAM,(E. urophylla x (E. camaldulensis x E. grandis)) x (E. camaldulensis)
169,AEC2034xTER,(E. urophylla x (E. camaldulensis x E. grandis)) x (E. tereticornis)
170,AEC2197xI3000,(E. urophylla x (E. camaldulensis x E. grandis)) x (E. camaldulensis)
171,AEC2197xLR830,(E. urophylla x (E. camaldulensis x E. grandis)) x (E. longirostrata)
172,AEC2197xLR831,(E. urophylla x (E. camaldulensis x E. grandis)) x (E. longirostrata)
173,AEC2197xVM1,(E. urophylla x (E. camaldulensis x E. grandis)) x (E. urophylla x E. camaldulensis)
174,AEC2197xVM4,(E. urophylla x (E. camaldulensis x E. grandis)) x (E. urophylla HE)
175,AEC2197xVCC1006,(E. urophylla x (E. camaldulensis x E. grandis)) x (E. urophylla x E. grandis)
