individuo_id,progenie,cap,altura,dap,volume,ima,resistente
1,1,34.682556,12.0,11.0454,0.0517,19.1637,1
401,1,,,,,,0
458,1,,,,,,0
849,1,38.380534,12.9,12.2231,0.0681,25.2285,1
1055,1,,,,,,0
1210,1,,,,,,0
1501,1,,,,,,0
1582,1,42.478548,14.5,13.5282,0.0938,34.7364,1
1811,1,,,,,,0
2039,1,,,,,,0
2409,1,,,,,,0
2585,1,,,,,,0
2779,1,31.484152,11.6,10.0268,0.0412,15.2657,1
2919,1,,,,,,0
3084,1,,,,,,0
3418,1,,,,,,0
3734,1,,,,,,0
3793,1,,,,,,0
4025,1,,,,,,0
4290,1,,,,,,0
2,2,38.980274,13.5,12.4141,0.0735,27.2334,1
392,2,,,,,,0
565,2,,,,,,0
780,2,36.98135,13.4,11.7775,0.0657,24.3303,1
1016,2,32.983188,13.2,10.5042,0.0515,19.0652,1
1220,2,,,,,,0
1526,2,,,,,,0
1735,2,,,,,,0
1930,2,,,,,,0
2075,2,,,,,,0
2292,2,,,,,,0
2437,2,29.484914,13.4,9.3901,0.0418,15.4663,1
2849,2,,,,,,0
3008,2,34.88226,16.6,11.109,0.0724,26.8162,1
3247,2,,,,,,0
3438,2,26.58638,11.7,8.467,0.0296,10.9796,1
3544,2,30.48469,11.6,9.7085,0.0386,14.3119,1
3814,2,38.480386,12.2,12.2549,0.0648,23.9839,1
4149,2,38.580552,15.0,12.2868,0.08,29.6418,1
4237,2,26.486528,12.0,8.4352,0.0302,11.1767,1
3,3,39.679866,13.3,12.6369,0.0751,27.8017,1
311,3,,,,,,0
476,3,,,,,,0
781,3,36.98135,13.3,11.7775,0.0652,24.1487,1
1026,3,38.980274,13.0,12.4141,0.0708,26.2248,1
1130,3,41.97866,15.6,13.369,0.0985,36.4974,1
1373,3,42.478548,13.8,13.5282,0.0893,33.0595,1
1688,3,,,,,,0
1785,3,,,,,,0
2061,3,,,,,,0
2410,3,35.981888,16.8,11.4592,0.078,28.8771,1
2539,3,33.98265,14.8,10.8225,0.0613,22.6913,1
