individuo_id,progenie,cap,altura,dap,volume,ima,resistente
2789,100,3.9,2.2,1.2414,0.00012,0.266282,1
2900,100,4.9,2.75,1.5597,0.000236,0.52543,1
3172,100,3.0,2.0,0.9549,6.4e-05,0.143239,1
3516,100,4.5,2.25,1.4324,0.000163,0.362575,1
3596,100,1.9,1.7,0.6048,2.2e-05,0.048837,1
3815,100,4.6,2.75,1.4642,0.000208,0.463061,1
4150,100,5.7,2.75,1.8144,0.00032,0.711005,1
4325,100,3.5,2.2,1.1141,9.7e-05,0.214461,1
101,101,10.1,3.7,3.2149,0.001352,3.003548,1
359,101,7.6,3.6,2.4192,0.000745,1.654702,1
454,101,5.1,2.6,1.6234,0.000242,0.538151,1
764,101,9.0,3.25,2.8648,0.000943,2.094877,1
934,101,6.1,3.23,1.9417,0.00043,0.956428,1
1164,101,6.8,3.0,2.1645,0.000497,1.103899,1
1466,101,2.5,1.77,0.7958,4e-05,0.088033,1
1720,101,6.2,2.95,1.9735,0.000406,0.902393,1
1831,101,8.0,3.5,2.5465,0.000802,1.782535,1
2021,101,2.0,1.75,0.6366,2.5e-05,0.055704,1
2288,101,3.8,1.95,1.2096,0.000101,0.224074,1
2563,101,2.5,2.0,0.7958,4.5e-05,0.099472,1
2707,101,3.6,2.1,1.1459,9.7e-05,0.216578,1
3067,101,4.3,2.5,1.3687,0.000166,0.367847,1
3283,101,4.3,2.25,1.3687,0.000149,0.331062,1
3449,101,2.9,2.0,0.9231,6e-05,0.133849,1
3580,101,,1.3,,,,0
3780,101,3.0,2.0,0.9549,6.4e-05,0.143239,1
4121,101,8.0,3.85,2.5465,0.000882,1.960789,1
4350,101,4.6,2.5,1.4642,0.000189,0.420965,1
102,102,,,,,,0
230,102,0.7,1.35,0.2228,2e-06,0.005264,1
639,102,4.8,2.75,1.5279,0.000227,0.504203,1
834,102,,0.77,,,,0
1042,102,,0.9,,,,0
1288,102,6.9,3.5,2.1963,0.000597,1.326039,1
1329,102,,0.78,,,,0
1586,102,2.4,2.0,0.7639,4.1e-05,0.091673,1
1838,102,1.3,1.5,0.4138,9e-06,0.020173,1
2023,102,,0.76,,,,0
2412,102,,1.19,,,,0
2482,102,1.4,1.6,0.4456,1.1e-05,0.024955,1
2664,102,,0.75,,,,0
3010,102,,1.0,,,,0
3242,102,,1.3,,,,0
3423,102,2.3,1.95,0.7321,3.7e-05,0.082088,1
3700,102,,,,,,0
3868,102,0.5,1.35,0.1592,1e-06,0.002686,1
3989,102,,1.0,,,,0
4289,102,1.6,1.6,0.5093,1.5e-05,0.032595,1
103,103,1.1,1.6,0.3501,7e-06,0.015406,1
400,103,,1.3,,,,0
480,103,,0.95,,,,0
720,103,1.1,1.53,0.3501,7e-06,0.014732,1
1054,103,6.1,3.25,1.9417,0.000433,0.96235,1
1165,103,,0.58,,,,0
1421,103,4.2,2.3,1.3369,0.000145,0.322862,1
1598,103,,1.15,,,,0
1764,103,1.2,1.45,0.382,7e-06,0.016616,1
2168,103,,,,,,0
2358,103,2.5,1.75,0.7958,3.9e-05,0.087038,1
2592,103,,,,,,0
2799,103,,,,,,0
2941,103,6.8,3.1,2.1645,0.000513,1.140695,1
3161,103,,1.05,,,,0
3486,103,,,,,,0
3738,103,8.6,3.7,2.7375,0.00098,2.177653,1
3803,103,,0.75,,,,0
4128,103,,1.2,,,,0
4241,103,,1.2,,,,0
104,104,,,,,,0
364,104,1.6,1.4,0.5093,1.3e-05,0.028521,1
640,104,6.3,3.2,2.0054,0.000455,1.010698,1
751,104,1.2,1.53,0.382,8e-06,0.017533,1
1077,104,3.9,2.25,1.2414,0.000123,0.272334,1
1204,104,3.9,2.25,1.2414,0.000123,0.272334,1
1410,104,4.4,2.7,1.4006,0.000187,0.415967,1
1581,104,4.0,2.5,1.2732,0.000143,0.31831,1
1928,104,,1.1,,,,0
2060,104,,1.0,,,,0
2240,104,,,,,,0
2485,104,,1.05,,,,0
2810,104,5.9,2.75,1.878,0.000343,0.761775,1
2995,104,8.5,3.85,2.7056,0.000996,2.213547,1
3228,104,,1.3,,,,0
3435,104,1.6,1.9,0.5093,1.7e-05,0.038706,1
3659,104,6.2,3.1,1.9735,0.000427,0.948277,1
3741,104,,0.75,,,,0
4046,104,3.4,2.4,1.0823,9.9e-05,0.22078,1
4212,104,0.4,1.45,0.1273,1e-06,0.001846,1
105,105,8.6,2.9,2.7375,0.000768,1.706809,1
379,105,9.2,3.1,2.9285,0.00094,2.087986,1
646,105,8.6,3.25,2.7375,0.000861,1.912804,1
874,105,11.0,4.4,3.5014,0.001907,4.236705,1
1088,105,7.2,3.75,2.2918,0.000696,1.546986,1
1125,105,1.4,1.65,0.4456,1.2e-05,0.025735,1
1405,105,1.1,1.75,0.3501,8e-06,0.016851,1
1611,105,7.3,4.0,2.3237,0.000763,1.696273,1
1953,105,1.5,1.6,0.4775,1.3e-05,0.028648,1
2125,105,7.4,3.7,2.3555,0.000726,1.612335,1
2237,105,,0.9,,,,0
2617,105,3.0,2.3,0.9549,7.4e-05,0.164725,1
2659,105,7.4,3.0,2.3555,0.000588,1.307299,1
2888,105,4.5,2.5,1.4324,0.000181,0.402861,1
3220,105,5.1,2.6,1.6234,0.000242,0.538151,1
3494,105,,0.65,,,,0
3715,105,1.3,1.5,0.4138,9e-06,0.020173,1
3841,105,6.7,3.0,2.1327,0.000482,1.07167,1
4103,105,2.9,2.05,0.9231,6.2e-05,0.137196,1
4303,105,4.0,2.1,1.2732,0.00012,0.26738,1
106,106,1.5,1.7,0.4775,1.4e-05,0.030438,1
236,106,6.4,3.4,2.0372,0.000499,1.108228,1
599,106,7.0,3.3,2.2282,0.000579,1.286768,1
760,106,3.8,2.45,1.2096,0.000127,0.281529,1
979,106,8.1,3.25,2.5783,0.000764,1.69685,1
1230,106,,0.7,,,,0
1404,106,9.0,4.35,2.8648,0.001262,2.803912,1
1753,106,,,,,,0
1955,106,4.4,2.75,1.4006,0.000191,0.42367,1
2012,106,3.0,2.5,0.9549,8.1e-05,0.179049,1
2213,106,3.4,2.25,1.0823,9.3e-05,0.206981,1
2589,106,,,,,,0
2706,106,,1.2,,,,0
3079,106,,1.05,,,,0
3299,106,2.3,1.75,0.7321,3.3e-05,0.073669,1
3309,106,,,,,,0
3597,106,5.1,2.75,1.6234,0.000256,0.569198,1
3911,106,1.0,1.45,0.3183,5e-06,0.011539,1
4091,106,,1.3,,,,0
4221,106,,1.1,,,,0
107,107,1.3,1.5,0.4138,9e-06,0.020173,1
338,107,5.4,2.5,1.7189,0.000261,0.58012,1
634,107,5.3,2.75,1.687,0.000277,0.614716,1
670,107,4.9,2.45,1.5597,0.000211,0.46811,1
1056,107,4.7,2.25,1.4961,0.000178,0.39552,1
1137,107,5.2,2.6,1.6552,0.000252,0.559461,1
1508,107,,,,,,0
1715,107,,1.0,,,,0
1773,107,,1.15,,,,0
2165,107,4.0,2.25,1.2732,0.000129,0.286479,1
2415,107,,1.7,,,,0
2479,107,1.2,1.65,0.382,9e-06,0.018908,1
2803,107,,,,,,0
3027,107,0.3,1.4,0.0955,,0.001003,1
3201,107,,2.65,,,,0
3434,107,,,,,,0
3636,107,1.6,1.7,0.5093,1.6e-05,0.034632,1
3757,107,,0.9,,,,0
3982,107,1.0,1.45,0.3183,5e-06,0.011539,1
4299,107,1.8,1.75,0.573,2e-05,0.04512,1
108,108,7.8,3.7,2.4828,0.000806,1.791353,1
349,108,,,,,,0
643,108,1.4,1.5,0.4456,1.1e-05,0.023396,1
707,108,,1.0,,,,0
987,108,2.3,1.95,0.7321,3.7e-05,0.082088,1
1208,108,4.0,2.25,1.2732,0.000129,0.286479,1
1397,108,4.5,3.0,1.4324,0.000218,0.483433,1
1541,108,2.9,2.2,0.9231,6.6e-05,0.147234,1
1829,108,4.7,2.5,1.4961,0.000198,0.439467,1
2142,108,1.4,1.65,0.4456,1.2e-05,0.025735,1
2214,108,1.4,2.0,0.4456,1.4e-05,0.031194,1
2478,108,1.0,1.96,0.3183,7e-06,0.015597,1
2743,108,4.5,2.5,1.4324,0.000181,0.402861,1
2923,108,2.8,2.0,0.8913,5.6e-05,0.124777,1
3099,108,4.0,2.45,1.2732,0.00014,0.311944,1
3411,108,2.7,2.05,0.8594,5.4e-05,0.118925,1
3620,108,0.8,1.5,0.2546,3e-06,0.007639,1
3899,108,,0.95,,,,0
4026,108,1.2,1.5,0.382,8e-06,0.017189,1
4233,108,,0.85,,,,0
109,109,,1.3,,,,0
260,109,8.0,3.7,2.5465,0.000848,1.884395,1
602,109,2.7,2.0,0.8594,5.2e-05,0.116024,1
685,109,3.9,2.3,1.2414,0.000125,0.278386,1
1100,109,,1.05,,,,0
1106,109,3.2,2.25,1.0186,8.3e-05,0.183346,1
1422,109,3.3,2.1,1.0504,8.2e-05,0.181986,1
1756,109,6.4,2.85,2.0372,0.000418,0.928956,1
1916,109,5.4,3.0,1.7189,0.000313,0.696144,1
2085,109,,1.2,,,,0
2382,109,6.1,3.05,1.9417,0.000406,0.903129,1
2491,109,3.2,2.35,1.0186,8.6e-05,0.191495,1
2685,109,1.0,1.5,0.3183,5e-06,0.011937,1
2895,109,,,,,,0
3208,109,3.2,1.95,1.0186,7.2e-05,0.1589,1
3479,109,0.9,1.5,0.2865,4e-06,0.009669,1
3695,109,,,,,,0
3798,109,1.5,1.6,0.4775,1.3e-05,0.028648,1
4028,109,,1.0,,,,0
4288,109,6.3,3.05,2.0054,0.000433,0.963321,1
110,110,10.2,4.25,3.2468,0.001583,3.518677,1
404,110,1.1,4.25,0.3501,1.8e-05,0.040923,1
513,110,9.4,3.75,2.9921,0.001187,2.6368,1
824,110,5.6,3.05,1.7825,0.000343,0.761143,1
889,110,4.1,2.33,1.3051,0.00014,0.311683,1
1317,110,1.8,1.75,0.573,2e-05,0.04512,1
1490,110,9.8,4.1,3.1194,0.00141,3.133474,1
1580,110,6.0,3.75,1.9099,0.000483,1.074296,1
1801,110,3.8,2.25,1.2096,0.000116,0.258547,1
1989,110,0.9,1.5,0.2865,4e-06,0.009669,1
2329,110,1.1,1.47,0.3501,6e-06,0.014154,1
2495,110,5.5,3.25,1.7507,0.000352,0.782346,1
2658,110,4.6,2.85,1.4642,0.000216,0.4799,1
2926,110,6.0,2.6,1.9099,0.000335,0.744845,1
3160,110,6.5,3.3,2.069,0.000499,1.109509,1
3379,110,5.6,3.0,1.7825,0.000337,0.748665,1
3711,110,5.7,3.1,1.8144,0.000361,0.801496,1
3901,110,2.6,2.2,0.8276,5.3e-05,0.118348,1
4000,110,4.6,2.6,1.4642,0.000197,0.437803,1
4240,110,5.7,2.9,1.8144,0.000337,0.749787,1
111,111,6.4,3.0,2.0372,0.00044,0.977848,1
257,111,4.9,1.8,1.5597,0.000155,0.343918,1
645,111,1.5,1.7,0.4775,1.4e-05,0.030438,1
762,111,7.4,3.25,2.3555,0.000637,1.41624,1
951,111,,1.08,,,,0
1255,111,5.7,2.7,1.8144,0.000314,0.698077,1
1382,111,5.1,2.95,1.6234,0.000275,0.610594,1
1575,111,4.6,2.35,1.4642,0.000178,0.395707,1
1836,111,8.6,3.8,2.7375,0.001006,2.236509,1
2068,111,2.1,1.7,0.6685,2.7e-05,0.059659,1
2201,111,6.4,2.75,2.0372,0.000403,0.896361,1
2520,111,6.8,3.1,2.1645,0.000513,1.140695,1
2749,111,,0.95,,,,0
3022,111,3.7,2.1,1.1777,0.000103,0.228777,1
3124,111,0.9,1.8,0.2865,5e-06,0.011602,1
3343,111,,0.5,,,,0
3672,111,,1.2,,,,0
