data,temperatura,umidade,preciptacao,idade
Jan/21,26.02831675229276,68.67586183021726,4.29966424547805,30
Fev/21,25.35841716971609,76.97921895172168,7.7271695135739185,30
Mar/21,,,0.0,30
Abr/21,,,0.0,30
Mai/21,,,0.0,30
Jun/21,22.15646922724084,63.086141128379474,0.0,30
Jul/21,21.293790744071035,55.921107386144755,0.0,30
Ago/21,23.217801908293342,53.17018659390017,0.0,30
Set/21,27.415714113391864,46.6307230721157,0.0,30
Out/21,26.791752325197624,64.97403939091221,3.676746650528027,36
Nov/21,24.22758806792569,79.10323010304467,8.431538497876957,36
Dez/21,24.380120693623653,83.54605310913011,10.989496985955997,36
