,individuo_id,progenie,cap,altura,dap,volume,ima,resistente
0,1,1,34.682556,12.0,11.0454,0.0517,19.1637,1
1,401,1,,,,,,0
2,458,1,,,,,,0
3,849,1,38.380534,12.9,12.2231,0.0681,25.2285,1
4,1055,1,,,,,,0
5,1210,1,,,,,,0
6,1501,1,,,,,,0
7,1582,1,42.478548,14.5,13.5282,0.0938,34.7364,1
8,1811,1,,,,,,0
9,2039,1,,,,,,0
10,2409,1,,,,,,0
11,2585,1,,,,,,0
12,2779,1,31.484152,11.6,10.0268,0.0412,15.2657,1
13,2919,1,,,,,,0
14,3084,1,,,,,,0
15,3418,1,,,,,,0
16,3734,1,,,,,,0
17,3793,1,,,,,,0
18,4025,1,,,,,,0
19,4290,1,,,,,,0
20,2,2,38.980274,13.5,12.4141,0.0735,27.2334,1
21,392,2,,,,,,0
22,565,2,,,,,,0
23,780,2,36.98135,13.4,11.7775,0.0657,24.3303,1
24,1016,2,32.983188,13.2,10.5042,0.0515,19.0652,1
25,1220,2,,,,,,0
26,1526,2,,,,,,0
27,1735,2,,,,,,0
28,1930,2,,,,,,0
29,2075,2,,,,,,0
30,2292,2,,,,,,0
31,2437,2,29.484914,13.4,9.3901,0.0418,15.4663,1
32,2849,2,,,,,,0
33,3008,2,34.88226,16.6,11.109,0.0724,26.8162,1
34,3247,2,,,,,,0
35,3438,2,26.58638,11.7,8.467,0.0296,10.9796,1
36,3544,2,30.48469,11.6,9.7085,0.0386,14.3119,1
37,3814,2,38.480386,12.2,12.2549,0.0648,23.9839,1
38,4149,2,38.580552,15.0,12.2868,0.08,29.6418,1
39,4237,2,26.486528,12.0,8.4352,0.0302,11.1767,1
40,3,3,39.679866,13.3,12.6369,0.0751,27.8017,1
41,311,3,,,,,,0
42,476,3,,,,,,0
43,781,3,36.98135,13.3,11.7775,0.0652,24.1487,1
44,1026,3,38.980274,13.0,12.4141,0.0708,26.2248,1
45,1130,3,41.97866,15.6,13.369,0.0985,36.4974,1
46,1373,3,42.478548,13.8,13.5282,0.0893,33.0595,1
47,1688,3,,,,,,0
48,1785,3,,,,,,0
49,2061,3,,,,,,0
50,2410,3,35.981888,16.8,11.4592,0.078,28.8771,1
51,2539,3,33.98265,14.8,10.8225,0.0613,22.6913,1
52,2812,3,33.68278,12.6,10.727,0.0512,18.9788,1
53,2861,3,32.483614,12.7,10.3451,0.048,17.7914,1
54,3240,3,,,,,,0
55,3436,3,,,,,,0
56,3626,3,,,,,,0
57,3940,3,34.28252,13.5,10.918,0.0569,21.065,1
58,4031,3,36.98135,13.7,11.7775,0.0672,24.875,1
59,4222,3,,,,,,0
60,4,4,,,,,,0
61,386,4,,,,,,0
62,613,4,,,,,,0
63,777,4,,,,,,0
64,1038,4,,,,,,0
65,1132,4,,,,,,0
66,1323,4,,,,,,0
67,1758,4,,,,,,0
68,1816,4,,,,,,0
69,2015,4,,,,,,0
70,2229,4,,,,,,0
71,2611,4,,,,,,0
72,2814,4,,,,,,0
73,2920,4,,,,,,0
74,3126,4,,,,,,0
75,3481,4,,,,,,0
76,3667,4,,,,,,0
77,3948,4,,,,,,0
78,4011,4,,,,,,0
79,4362,4,33.98265,13.7,10.8225,0.0567,21.0047,1
80,5,5,,,,,,0
81,439,5,,,,,,0
82,460,5,,,,,,0
83,761,5,,,,,,0
84,905,5,,,,,,0
85,1174,5,,,,,,0
86,1359,5,,,,,,0
87,1725,5,,,,,,0
88,1848,5,,,,,,0
89,1984,5,35.482,9.8,11.3,0.0442,16.3803,1
90,2366,5,,,,,,0
91,2505,5,,,,,,0
92,2858,5,32.483614,12.8,10.3451,0.0484,17.9315,1
93,2992,5,,,,,,0
94,3222,5,,,,,,0
95,3370,5,,,,,,0
96,3609,5,,,,,,0
97,3756,5,,,,,,0
98,4079,5,,,,,,0
99,4228,5,,,,,,0
100,6,6,34.982112,13.2,11.1408,0.0579,21.4461,1
101,327,6,,,,,,0
102,584,6,,,,,,0
103,667,6,42.678252,13.5,13.5918,0.0881,32.6459,1
104,956,6,,,,,,0
105,1152,6,43.977584,14.4,14.0056,0.0998,36.9749,1
106,1374,6,,,,,,0
107,1719,6,,,,,,0
108,1853,6,,,,,,0
109,2187,6,,,,,,0
110,2413,6,,,,,,0
111,2464,6,,,,,,0
112,2804,6,,,,,,0
113,2882,6,,,,,,0
114,3130,6,,,,,,0
115,3398,6,,,,,,0
116,3716,6,,,,,,0
117,3932,6,,,,,,0
118,3981,6,34.482538,13.7,10.9817,0.0584,21.6271,1
119,4291,6,29.385062,11.2,9.3583,0.0347,12.8396,1
120,7,7,31.883874,12.2,10.1541,0.0445,16.4657,1
121,419,7,,,,,,0
122,449,7,32.483614,13.2,10.3451,0.0499,18.4918,1
123,736,7,,,,,,0
124,899,7,,,,,,0
125,1239,7,37.181054,11.1,11.8411,0.055,20.3727,1
126,1444,7,37.980812,14.5,12.0958,0.075,27.7699,1
127,1544,7,36.481462,11.2,11.6183,0.0534,19.7899,1
128,1968,7,,,,,,0
129,2108,7,38.780256,12.7,12.3504,0.0685,25.3575,1
130,2373,7,,,,,,0
131,2608,7,,,,,,0
132,2738,7,,,,,,0
133,2997,7,39.580014,16.0,12.6051,0.0898,33.2774,1
134,3241,7,36.98135,14.1,11.7775,0.0691,25.6013,1
135,3335,7,35.482,13.0,11.3,0.0587,21.729,1
136,3562,7,22.48868,11.5,7.162,0.0208,7.7215,1
137,3762,7,31.683856,13.3,10.0904,0.0479,17.7259,1
138,4175,7,24.987178,11.3,7.9577,0.0253,9.3669,1
139,4214,7,,,,,,0
140,8,8,33.483076,15.1,10.6634,0.0607,22.4753,1
141,332,8,35.482,11.3,11.3,0.051,18.8875,1
142,483,8,28.485452,11.4,9.0718,0.0332,12.281,1
143,820,8,,,,,,0
144,941,8,36.38161,12.2,11.5865,0.0579,21.4388,1
145,1238,8,39.479848,13.4,12.5732,0.0749,27.7292,1
146,1455,8,38.980274,15.9,12.4141,0.0866,32.0749,1
147,1552,8,37.980812,12.8,12.0958,0.0662,24.5141,1
148,1790,8,38.980274,1.4,12.4141,0.0076,2.8242,1
149,2167,8,,,,,,0
150,2328,8,,,,,,0
151,2522,8,,,,,,0
152,2678,8,36.98135,13.5,11.7775,0.0662,24.5119,1
153,2948,8,,,,,,0
154,3165,8,,,,,,0
155,3317,8,23.488142,10.5,7.4803,0.0208,7.6907,1
156,3724,8,30.48469,14.6,9.7085,0.0486,18.0132,1
157,3742,8,28.585618,9.9,9.1037,0.029,10.74,1
158,4081,8,44.67749,13.9,14.2285,0.0995,36.8357,1
159,4390,8,40.679328,13.4,12.9552,0.0795,29.4396,1
160,9,9,,,,,,0
161,362,9,41.479086,15.5,13.2099,0.0956,35.4052,1
162,642,9,,,,,,0
163,666,9,47.276154,14.3,15.0561,0.1146,42.4324,1
164,881,9,39.479848,12.9,12.5732,0.0721,26.6946,1
165,1124,9,,,,,,0
166,1328,9,,,,,,0
167,1637,9,41.97866,12.8,13.369,0.0809,29.9466,1
168,1817,9,,,,,,0
169,2161,9,,,,,,0
170,2320,9,18.990406,10.6,6.0479,0.0137,5.0752,1
171,2465,9,,,,,,0
172,2771,9,37.480924,15.0,11.9366,0.0755,27.9765,1
173,2914,9,,,,,,0
174,3109,9,41.97866,15.0,13.369,0.0948,35.0937,1
175,3459,9,,,,,,0
176,3641,9,34.382686,14.3,10.9499,0.0606,22.4436,1
177,3864,9,21.988792,6.7,7.0028,0.0116,4.3009,1
178,4156,9,48.975208,15.0,15.5972,0.129,47.7664,1
179,4367,9,36.581314,14.4,11.6501,0.0691,25.5837,1
180,10,10,,,,,,0
181,299,10,,,,,,0
182,478,10,39.979736,13.6,12.7324,0.0779,28.8601,1
183,821,10,,,,,,0
184,1052,10,,,,,,0
185,1202,10,26.58638,9.2,8.467,0.0233,8.6336,1
186,1361,10,22.988254,10.5,7.3211,0.0199,7.3669,1
187,1743,10,,,,,,0
188,1852,10,,,,,,0
189,1995,10,45.676952,11.4,14.5468,0.0853,31.5774,1
190,2326,10,38.480386,15.6,12.2549,0.0828,30.668,1
191,2449,10,44.977046,15.3,14.3239,0.1109,41.0918,1
192,2793,10,38.480386,14.4,12.2549,0.0764,28.3089,1
193,3044,10,,,,,,0
194,3173,10,,,,,,0
195,3465,10,40.079588,13.7,12.7642,0.0789,29.2178,1
196,3661,10,35.981888,14.4,11.4592,0.0668,24.7518,1
197,3909,10,,,,,,0
198,4094,10,41.279068,13.9,13.1462,0.0849,31.4452,1
199,4192,10,38.980274,15.0,12.4141,0.0817,30.2593,1
200,11,11,43.377844,14.9,13.8146,0.1005,37.2224,1
201,253,11,48.975208,14.8,15.5972,0.1272,47.1295,1
202,524,11,,,,,,0
203,669,11,45.976822,14.5,14.6423,0.1099,40.6933,1
204,1043,11,50.474244,15.1,16.0746,0.1379,51.0738,1
205,1227,11,,,,,,0
206,1510,11,,,,,,0
207,1656,11,42.978122,13.2,13.6873,0.0874,32.3705,1
208,1858,11,,,,,,0
209,2195,11,,,,,,0
210,2260,11,,,,,,0
211,2461,11,32.183744,11.4,10.2496,0.0423,15.6767,1
212,2824,11,,,,,,0
213,3015,11,,,,,,0
214,3215,11,33.98265,14.0,10.8225,0.058,21.4647,1
215,3353,11,38.480386,13.0,12.2549,0.069,25.5566,1
216,3730,11,40.77918,15.7,12.987,0.0936,34.6624,1
217,3850,11,,,,,,0
218,3992,11,,,,,,0
219,4386,11,,,,,,0
220,12,12,,,,,,0
221,416,12,,,,,,0
222,622,12,,,,,,0
223,745,12,,,,,,0
224,1022,12,,,,,,0
225,1320,12,,,,,,0
226,1452,12,,,,,,0
227,1642,12,,,,,,0
228,1874,12,22.988254,10.2,7.3211,0.0193,7.1564,1
229,2191,12,,,,,,0
230,2255,12,,,,,,0
231,2428,12,,,,,,0
232,2859,12,,,,,,0
233,2940,12,,,,,,0
234,3277,12,,,,,,0
235,3468,12,,,,,,0
236,3728,12,,,,,,0
237,3900,12,,,,,,0
238,4172,12,,,,,,0
239,4187,12,,,,,,0
240,13,13,,,,,,0
241,376,13,41.67879,15.1,13.2735,0.094,34.8247,1
242,554,13,32.483614,11.8,10.3451,0.0446,16.5306,1
243,818,13,37.980812,13.6,12.0958,0.0703,26.0462,1
244,1076,13,,,,,,0
245,1201,13,,,,,,0
246,1523,13,,,,,,0
247,1625,13,,,,,,0
248,1936,13,,,,,,0
249,2027,13,,,,,,0
250,2321,13,,,,,,0
251,2516,13,,,,,,0
252,2688,13,,,,,,0
253,3001,13,,,,,,0
254,3090,13,,,,,,0
255,3519,13,,,,,,0
256,3712,13,35.682018,12.2,11.3637,0.0557,20.6222,1
257,3744,13,,,,,,0
258,3997,13,,,,,,0
259,4256,13,45.177064,11.6,14.3876,0.0849,31.4321,1
260,14,14,,,,,,0
261,393,14,44.977046,12.7,14.3239,0.0921,34.1089,1
262,516,14,35.482,15.1,11.3,0.0681,25.239,1
263,691,14,37.381072,14.7,11.9048,0.0736,27.2709,1
264,1017,14,38.280682,13.4,12.1913,0.0704,26.07,1
265,1181,14,,,,,,0
266,1519,14,35.981888,12.2,11.4592,0.0566,20.9703,1
267,1621,14,,,,,,0
268,1784,14,,,,,,0
269,2115,14,35.482,13.2,11.3,0.0596,22.0633,1
270,2232,14,22.18881,8.6,7.0665,0.0152,5.6214,1
271,2436,14,32.583466,11.6,10.3769,0.0441,16.3505,1
272,2713,14,,,,,,0
273,2906,14,29.984802,11.5,9.5493,0.0371,13.7271,1
274,3082,14,37.58109,10.6,11.9685,0.0537,19.8756,1
275,3441,14,34.482538,13.1,10.9817,0.0558,20.6799,1
276,3686,14,35.281982,15.5,11.2363,0.0692,25.6165,1
277,3821,14,,,,,,0
278,4012,14,43.377844,12.5,13.8146,0.0843,31.2269,1
279,4267,14,35.78187,13.0,11.3955,0.0597,22.0978,1
280,15,15,37.980812,12.5,12.0958,0.0646,23.9396,1
281,241,15,36.481462,12.1,11.6183,0.0577,21.3801,1
282,609,15,,,,,,0
283,662,15,34.28252,12.6,10.918,0.0531,19.6606,1
284,1025,15,34.982112,12.5,11.1408,0.0548,20.3088,1
285,1296,15,,,,,,0
286,1391,15,,,,,,0
287,1698,15,,,,,,0
288,1807,15,,,,,,0
289,2048,15,,,,,,0
290,2309,15,35.981888,13.1,11.4592,0.0608,22.5172,1
291,2612,15,33.483076,10.3,10.6634,0.0414,15.3308,1
292,2764,15,,,,,,0
293,2915,15,38.480386,12.8,12.2549,0.0679,25.1635,1
294,3258,15,25.487066,9.3,8.1169,0.0217,8.0205,1
295,3340,15,27.18612,12.0,8.658,0.0318,11.7749,1
296,3634,15,,,,,,0
297,3761,15,36.181592,13.5,11.5228,0.0634,23.4633,1
298,4148,15,33.483076,13.8,10.6634,0.0555,20.5403,1
