,individuo_id,progenie,cap,altura,dap,volume,ima,resistente
0,1,1,27.586156,7.8,8.7854,0.0213,9.4566,1
1,401,1,,,,,,0
2,458,1,24.987178,8.6,7.9577,0.0192,8.5546,1
3,849,1,35.281982,11.4,11.2363,0.0509,22.6086,1
4,1055,1,,,,,,0
5,1210,1,,,,,,0
6,1501,1,,,,,,0
7,1582,1,35.581852,10.5,11.3318,0.0477,21.1792,1
8,1811,1,,,,,,0
9,2039,1,,,,,,0
10,2409,1,,,,,,0
11,2585,1,,,,,,0
12,2779,1,26.986416,6.7,8.5944,0.0175,7.7736,1
13,2919,1,,,,,,0
14,3084,1,18.390666,10.2,5.8569,0.0124,5.4961,1
15,3418,1,,,,,,0
16,3734,1,,,,,,0
17,3793,1,,,,,,0
18,4025,1,,,,,,0
19,4290,1,,,,,,0
20,2,2,31.883874,10.3,10.1541,0.0375,16.6816,1
21,392,2,31.983726,11.0,10.1859,0.0403,17.9272,1
22,565,2,24.987178,10.2,7.9577,0.0228,10.1461,1
23,780,2,32.583466,11.2,10.3769,0.0426,18.9441,1
24,1016,2,28.485452,10.5,9.0718,0.0305,13.5737,1
25,1220,2,,,,,,0
26,1526,2,,,,,,0
27,1735,2,,,,,,0
28,1930,2,,,,,,0
29,2075,2,,,,,,0
30,2292,2,,,,,,0
31,2437,2,24.487604,9.2,7.7986,0.0198,8.789,1
32,2849,2,,,,,,0
33,3008,2,30.984264,11.1,9.8676,0.0382,16.9772,1
34,3247,2,30.48469,10.7,9.7085,0.0356,15.8418,1
35,3438,2,24.587456,10.5,7.8304,0.0228,10.113,1
36,3544,2,26.88625,8.1,8.5625,0.021,9.3285,1
37,3814,2,33.483076,11.0,10.6634,0.0442,19.6473,1
38,4149,2,32.483614,9.8,10.3451,0.0371,16.4745,1
39,4237,2,22.48868,9.8,7.162,0.0178,7.8961,1
40,3,3,23.488142,8.5,7.4803,0.0168,7.4709,1
41,311,3,33.882798,10.7,10.7907,0.044,19.5706,1
42,476,3,25.287048,10.5,8.0532,0.0241,10.6967,1
43,781,3,31.883874,11.2,10.1541,0.0408,18.1393,1
44,1026,3,34.782408,11.3,11.0772,0.049,21.78,1
45,1130,3,36.481462,11.6,11.6183,0.0553,24.596,1
46,1373,3,35.981888,12.3,11.4592,0.0571,25.3706,1
47,1688,3,32.183744,11.2,10.2496,0.0416,18.482,1
48,1785,3,,,,,,0
49,2061,3,,,,,,0
50,2410,3,31.983726,11.6,10.1859,0.0425,18.9051,1
51,2539,3,29.385062,12.4,9.3583,0.0384,17.0583,1
52,2812,3,30.784246,9.9,9.8039,0.0336,14.9471,1
53,2861,3,28.68547,10.2,9.1355,0.0301,13.3716,1
54,3240,3,29.385062,10.5,9.3583,0.0325,14.4446,1
55,3436,3,,,,,,0
56,3626,3,,,,,,0
57,3940,3,29.684932,10.5,9.4538,0.0332,14.7408,1
58,4031,3,32.983188,12.6,10.5042,0.0491,21.8383,1
59,4222,3,30.48469,10.8,9.7085,0.036,15.9898,1
60,4,4,33.483076,10.1,10.6634,0.0406,18.0398,1
61,386,4,,,,,,0
62,613,4,,,,,,0
63,777,4,,,,,,0
64,1038,4,,,,,,0
65,1132,4,,,,,,0
66,1323,4,29.484914,8.7,9.3901,0.0271,12.0499,1
67,1758,4,,,,,,0
68,1816,4,,,,,,0
69,2015,4,,,,,,0
70,2229,4,,,,,,0
71,2611,4,,,,,,0
72,2814,4,,,,,,0
73,2920,4,,,,,,0
74,3126,4,29.984802,10.0,9.5493,0.0322,14.3239,1
